,cases,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,dates
0,1,,,,,,,,0
1,2,,,,,,,,1
2,3,,,,,,,,2
3,4,,,,,,,,3
4,10,,,,,,,,5
5,15,,,,,,,,6
6,20,,,,,,,,7
7,23,,,,,,,,8
8,29,,,,,,,,9
9,37,,,,,,,,10
10,92,,,,,,,,11
11,264,,,,,,,,12
12,516,,,,,,,,13
13,676,,,,,,,,14
14,804,,,,,,,,15
15,836,,,,,,,,16
16,875,,,,,,,,17
17,932,,,,,,,,18
18,1024,,,,,,,,19
19,1115,,,,,,,,20
20,1223,,,,,,,,21
21,1335,,,,,,,,22
22,1418,,,,,,,,23
23,1512,,,,,,,,24
24,1582,,,,,,,,25
25,1717,,,,,,,,26
26,1861,,,,,,,,27
27,2023,,,,,,,,28
28,2199,,,,,,,,29
29,2366,,,,,,,,30
30,2564,,,,,,,,31
31,2755,,,,,,,,32
32,3039,,,,,,,,33
33,3290,,,,,,,,34
34,3573,,,,,,,,35
35,3946,,,,,,,,36
36,4268,,,,,,,,37
37,4561,,,,,,,,38
38,4875,,,,,,,,39
39,5266,,,,,,,,40
40,5597,,,,,,,,41
41,5830,,,,,,,,42
42,6014,,,,,,,,43
43,6191,,,,,,,,44
44,6369,,,,,,,,45
45,6513,,,,,,,,46
46,6706,,,,,,,,47
47,6876,,,,,,,,48
48,7074,,,,,,,,49
49,7268,,,,,,,,50
50,7437,,,,,,,,51
51,7580,,,,,,,,52
