date,cases,recoveries,deaths,removed ,infected,hospitalisations,tot_hosps,
27/02/2020,1,0,0,0,1,0,0,
28/02/2020,2,0,0,0,2,0,0,
29/02/2020,3,0,0,0,3,0,0,
01/03/2020,4,0,0,0,4,1,1,
03/03/2020,10,0,0,0,10,1,0,
04/03/2020,15,0,0,0,15,2,1,
05/03/2020,20,0,0,0,20,2,0,
06/03/2020,23,0,0,0,23,3,1,
07/03/2020,29,0,0,0,29,7,4,
08/03/2020,37,0,0,0,37,7,0,
09/03/2020,92,0,0,0,92,10,3,
10/03/2020,264,0,0,0,264,19,9,Change of testing strategy: only hopitalised cases now tested
11/03/2020,516,0,0,0,516,34,15,Banned public gatherings of 100+ people
12/03/2020,676,0,0,0,676,44,10,
13/03/2020,804,0,1,1,803,62,18,Closed all non-essential services including 16+ education
14/03/2020,836,0,2,2,834,88,26,
15/03/2020,875,0,2,2,873,112,24,
16/03/2020,932,0,4,4,928,145,33,Closed primary school
17/03/2020,1024,0,4,4,1020,190,45,
18/03/2020,1115,0,4,4,1111,237,47,"Banned public gatherings of 10+ people. Closed shopping centers, nigthclubs, hairdressers. "
19/03/2020,1223,0,6,6,1217,284,47,
20/03/2020,1335,0,9,9,1326,336,52,
21/03/2020,1418,0,13,13,1405,400,64,
22/03/2020,1512,0,13,13,1499,434,34,
23/03/2020,1582,0,13,13,1569,474,40,
24/03/2020,1717,0,24,24,1693,559,85,
25/03/2020,1861,0,34,34,1827,644,85,
26/03/2020,2023,0,41,41,1982,738,94,
27/03/2020,2199,0,52,52,2147,830,92,
28/03/2020,2366,0,65,65,2301,920,90,
29/03/2020,2564,0,72,72,2492,1011,91,
30/03/2020,2755,0,77,77,2678,1061,50,
31/03/2020,3039,0,90,90,2949,1145,84,
01/04/2020,3290,894,104,998,2292,1202,57,
02/04/2020,3573,1172,123,1295,2278,1263,61,
03/04/2020,3946,1193,139,1332,2614,1336,73,
04/04/2020,4268,1379,161,1540,2728,1408,72,
05/04/2020,4561,1430,179,1609,2952,1452,44,
06/04/2020,4875,1489,187,1676,3199,1485,33,
07/04/2020,5266,1615,203,1818,3448,1537,52,
08/04/2020,5597,1762,218,1980,3617,1593,56,
09/04/2020,5830,1883,237,2120,3710,1621,28,
10/04/2020,6014,1929,247,2176,3838,1655,34,
11/04/2020,6191,2111,260,2371,3820,1688,33,
12/04/2020,6369,2291,273,2564,3805,1719,31,
13/04/2020,6513,2403,285,2688,3825,1746,27,
14/04/2020,6706,2689,299,2988,3718,1776,30,
15/04/2020,6876,2925,309,3234,3642,1821,45,
16/04/2020,7074,3203,321,3524,3550,1851,30,
17/04/2020,7268,3571,336,3907,3361,1884,33,
18/04/2020,7437,4031,346,4377,3060,1911,27,
19/04/2020,7580,4328,355,4683,2897,1938,27,
20/04/2020,7711,4500,364,4864,2847,1971,33,
21/04/2020,7891,4889,370,5259,2632,2004,33,
22/04/2020,8108,5279,384,5663,2445,2042,38,
23/04/2020,8271,5573,394,5967,2304,2070,28,
24/04/2020,8408,5715,403,6118,2290,2102,32,
25/04/2020,8643,5858,418,6276,2367,2125,23,
26/04/2020,8773,5994,422,6416,2357,2152,27,
27/04/2020,8896,6150,427,6577,2319,2178,26,
